"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"357" "o7_t2_mf_d1" "o7_t2_rp_d2" 0
"358" "o7_t2_mf_d2" "o7_t1_cs_d1" 1
"359" "o7_t2_mf_d2" "o7_t1_cs_d2" 0
"360" "o7_t2_mf_d2" "o7_t2_mf_d1" 0
"361" "o7_t2_mf_d2" "o7_t2_ap_d1" 0
"362" "o7_t2_mf_d2" "o7_t2_ap_d2" 0
"363" "o7_t2_mf_d2" "o7_t2_rp_d1" 0
"364" "o7_t2_mf_d2" "o7_t2_rp_d2" 0
"365" "o7_t2_ap_d1" "o7_t1_cs_d1" 1
"366" "o7_t2_ap_d1" "o7_t1_cs_d2" 0
"367" "o7_t2_ap_d1" "o7_t2_mf_d1" 0
"368" "o7_t2_ap_d1" "o7_t2_mf_d2" 1
"369" "o7_t2_ap_d1" "o7_t2_ap_d2" 0
"370" "o7_t2_ap_d1" "o7_t2_rp_d1" 0
"371" "o7_t2_ap_d1" "o7_t2_rp_d2" 0
"372" "o7_t2_ap_d2" "o7_t1_cs_d1" 1
"373" "o7_t2_ap_d2" "o7_t1_cs_d2" 0
"374" "o7_t2_ap_d2" "o7_t2_mf_d1" 1
"375" "o7_t2_ap_d2" "o7_t2_mf_d2" 1
"376" "o7_t2_ap_d2" "o7_t2_ap_d1" 1
"377" "o7_t2_ap_d2" "o7_t2_rp_d1" 0
"378" "o7_t2_ap_d2" "o7_t2_rp_d2" 1
"379" "o7_t2_rp_d1" "o7_t1_cs_d1" 1
"380" "o7_t2_rp_d1" "o7_t1_cs_d2" 1
"381" "o7_t2_rp_d1" "o7_t2_mf_d1" 1
"382" "o7_t2_rp_d1" "o7_t2_mf_d2" 1
"383" "o7_t2_rp_d1" "o7_t2_ap_d1" 1
"384" "o7_t2_rp_d1" "o7_t2_ap_d2" 1
"385" "o7_t2_rp_d1" "o7_t2_rp_d2" 1
"386" "o7_t2_rp_d2" "o7_t1_cs_d1" 1
"387" "o7_t2_rp_d2" "o7_t1_cs_d2" 0
"388" "o7_t2_rp_d2" "o7_t2_mf_d1" 1
"389" "o7_t2_rp_d2" "o7_t2_mf_d2" 1
"390" "o7_t2_rp_d2" "o7_t2_ap_d1" 1
"391" "o7_t2_rp_d2" "o7_t2_ap_d2" 0
"392" "o7_t2_rp_d2" "o7_t2_rp_d1" 0
"393" "o8_t1_cs_d1" "o8_t1_cs_d2" 0
"394" "o8_t1_cs_d1" "o8_t2_mf_d1" 0
"395" "o8_t1_cs_d1" "o8_t2_mf_d2" 0
"396" "o8_t1_cs_d1" "o8_t2_ap_d1" 0
"397" "o8_t1_cs_d1" "o8_t2_ap_d2" 0
"398" "o8_t1_cs_d1" "o8_t2_rp_d1" 0
"399" "o8_t1_cs_d1" "o8_t2_rp_d2" 0
"400" "o8_t1_cs_d2" "o8_t1_cs_d1" 1
"401" "o8_t1_cs_d2" "o8_t2_mf_d1" 0
"402" "o8_t1_cs_d2" "o8_t2_mf_d2" 1
"403" "o8_t1_cs_d2" "o8_t2_ap_d1" 1
"404" "o8_t1_cs_d2" "o8_t2_ap_d2" 0
"405" "o8_t1_cs_d2" "o8_t2_rp_d1" 0
"406" "o8_t1_cs_d2" "o8_t2_rp_d2" 0
"407" "o8_t2_mf_d1" "o8_t1_cs_d1" 1
"408" "o8_t2_mf_d1" "o8_t1_cs_d2" 1
"409" "o8_t2_mf_d1" "o8_t2_mf_d2" 1
"410" "o8_t2_mf_d1" "o8_t2_ap_d1" 1
